Name,Party,State,District,Title,Website,Facebook,Twitter
Mike Simpson,,,,,https://simpson.house.gov,96007744606,CongMikeSimpson
Albio Sires,,,,,https://sires.house.gov,81058818750,RepSires
Elissa Slotkin,,,,,https://slotkin.house.gov/,,RepSlotkin
Adrian Smith,,,,,https://adriansmith.house.gov,,RepAdrianSmith
Adam Smith,,,,,https://adamsmith.house.gov,RepAdamSmith,RepAdamSmith
Christopher Smith,,,,,https://chrissmith.house.gov,RepChrisSmith,RepChrisSmith
Jason Smith,,,,,https://jasonsmith.house.gov,repjasonsmith,RepJasonSmith
Lloyd Smucker,,,,,https://smucker.house.gov,RepSmucker,RepSmucker
Darren Soto,,,,,https://soto.house.gov,CongressmanDarrenSoto,RepDarrenSoto
Abigail Spanberger,,,,,https://spanberger.house.gov/,,RepSpanberger
Ross Spano,,,,,https://spano.house.gov/,,RepRossSpano
Jackie Speier,,,,,https://speier.house.gov,JackieSpeier,RepSpeier
Greg Stanton,,,,,https://stanton.house.gov/,,RepGregStanton
Pete Stauber,,,,,https://stauber.house.gov/,,RepPeteStauber
Elise Stefanik,,,,,https://stefanik.house.gov,RepEliseStefanik,RepStefanik
Bryan Steil,,,,,https://steil.house.gov/,,RepBryanSteil
Greg Steube,,,,,https://steube.house.gov/,,RepGregSteube
Haley Stevens,,,,,https://stevens.house.gov/,,RepHaleyStevens
Chris Stewart,,,,,https://stewart.house.gov,RepChrisStewart,RepChrisStewart
Steve Stivers,,,,,https://stivers.house.gov,116058275133542,RepSteveStivers
Thomas Suozzi,,,,,https://suozzi.house.gov,RepTomSuozzi,RepTomSuozzi
Eric Swalwell,,,,,https://swalwell.house.gov,CongressmanEricSwalwell,RepSwalwell
Mark Takano,,,,,https://takano.house.gov,RepMarkTakano,RepMarkTakano
Van Taylor,,,,,https://vantaylor.house.gov/,,RepVanTaylor
Glenn Thompson,,,,,https://thompson.house.gov,CongressmanGT,CongressmanGT
Bennie Thompson,,,,,https://benniethompson.house.gov,CongressmanBennieGThompson,BennieGThompson
Mike Thompson,,,,,https://mikethompson.house.gov,RepMikeThompson,RepThompson
William Thornberry,,,,,https://thornberry.house.gov,repmacthornberry,MacTXPress
William Timmons,,,,,https://timmons.house.gov/,,RepTimmons
Scott Tipton,,,,,https://tipton.house.gov,CongressmanScottTipton,RepTipton
Dina Titus,,,,,https://titus.house.gov,CongresswomanTitus,RepDinaTitus
Rashida Tlaib,,,,,https://tlaib.house.gov/,,RepRashida
Paul Tonko,,,,,https://tonko.house.gov,reppaultonko,RepPaulTonko
Norma Torres,,,,,https://torres.house.gov,RepNormaTorres,NormaJTorres
Xochitl Torres Small,,,,,http://torressmall.house.gov,,RepTorresSmall
Lori Trahan,,,,,https://trahan.house.gov/,,RepLoriTrahan
David Trone,,,,,https://trone.house.gov/,,RepDavidTrone
Michael Turner,,,,,https://turner.house.gov,RepMikeTurner,RepMikeTurner
Lauren Underwood,,,,,https://underwood.house.gov/,,RepUnderwood
Fred Upton,,,,,https://upton.house.gov,RepFredUpton,RepFredUpton
