Name,Party,State,District,Title,Website,Facebook,Twitter
Vicky Hartzler,R,MO,MO_04,Representative,https://hartzler.house.gov,Congresswoman.Hartzler,RepHartzler
Alcee Hastings,D,FL,FL_20,Representative,https://alceehastings.house.gov,95696782238,RepHastingsFL
Jahana Hayes,D,CT,CT_05,Representative,https://hayes.house.gov/,,RepJahanaHayes
Denny Heck,D,WA,WA_10,Representative,https://dennyheck.house.gov,CongressmanDennyHeck,RepDennyHeck
Kevin Hern,R,OK,OK_01,Representative,https://hern.house.gov,,repkevinhern
Jaime Herrera Beutler,R,WA,WA_03,Representative,https://herrerabeutler.house.gov,herrerabeutler,HerreraBeutler
Jody Hice,R,GA,GA_10,Representative,https://hice.house.gov,CongressmanJodyHice,congressmanhice
Clay Higgins,R,LA,LA_03,Representative,https://clayhiggins.house.gov,CongressmanClayHiggins,RepClayHiggins
Brian Higgins,D,NY,NY_26,Representative,https://higgins.house.gov,RepBrianHiggins,RepBrianHiggins
Katie Hill,D,CA,CA_25,Representative,https://katiehill.house.gov/,,RepKatieHill
French Hill,R,AR,AR_02,Representative,https://hill.house.gov,RepFrenchHill,RepFrenchHill
Jim Himes,D,CT,CT_04,Representative,https://himes.house.gov,CongressmanJimHimes,JAHimes
George Holding,R,NC,NC_02,Representative,https://holding.house.gov,CongressmanGeorgeHolding,RepHolding
Trey Hollingsworth,R,IN,IN_09,Representative,https://hollingsworth.house.gov,reptrey,reptrey
Kendra Horn,D,OK,OK_05,Representative,https://horn.house.gov/,,RepKendraHorn
Steven Horsford,D,NV,NV_04,Representative,http://horsford.house.gov,,RepHorsford
Chrissy Houlahan,D,PA,PA_06,Representative,https://houlahan.house.gov/,,RepHoulahan
Steny Hoyer,D,MD,MD_05,Representative,https://hoyer.house.gov,WhipHoyer,LeaderHoyer
Richard Hudson,R,NC,NC_08,Representative,https://hudson.house.gov,RepRichHudson,RepRichHudson
Jared Huffman,D,CA,CA_02,Representative,https://huffman.house.gov,RepHuffman,RepHuffman
Bill Huizenga,R,MI,MI_02,Representative,https://huizenga.house.gov,RepHuizenga,RepHuizenga
Duncan Hunter,R,CA,CA_50,Representative,https://hunter.house.gov,DuncanHunter,Rep_Hunter
Will Hurd,R,TX,TX_23,Representative,https://hurd.house.gov,HurdOnTheHill,hurdonthehill
Sheila Jackson Lee,D,TX,TX_18,Representative,https://jacksonlee.house.gov,CongresswomanSheilaJacksonLee,JacksonLeeTX18
Pramila Jayapal,D,WA,WA_07,Representative,https://jayapal.house.gov,RepJayapal,RepJayapal
Hakeem Jeffries,D,NY,NY_08,Representative,https://jeffries.house.gov,RepHakeemJeffries,RepJeffries
Mike Johnson,R,LA,LA_04,Representative,https://mikejohnson.house.gov,RepMikeJohnson,RepMikeJohnson
Dusty Johnson,R,SD,SD_AL,Representative,https://dustyjohnson.house.gov/,,RepJohnson
Bill Johnson,R,OH,OH_06,Representative,https://billjohnson.house.gov,RepBillJohnson,RepBillJohnson
Eddie Johnson,D,TX,TX_30,Representative,https://ebjohnson.house.gov,CongresswomanEBJtx30,RepEBJ
Hank Johnson,D,GA,GA_04,Representative,https://hankjohnson.house.gov,115356957005,RepHankJohnson
Walter Jones,R,NC,NC_03,Representative,https://jones.house.gov,15083070102,RepWalterJones
Jim Jordan,R,OH,OH_04,Representative,https://jordan.house.gov,repjimjordan,Jim_Jordan
Dave Joyce,R,OH,OH_14,Representative,https://joyce.house.gov,RepDaveJoyce,RepDaveJoyce
John Joyce,R,PA,PA_13,Representative,https://johnjoyce.house.gov/,,RepJohnJoyce
Marcy Kaptur,D,OH,OH_09,Representative,https://kaptur.house.gov,RepresentativeMarcyKaptur,RepMarcyKaptur
John Katko,R,NY,NY_24,Representative,https://katko.house.gov,RepJohnKatko,RepJohnKatko
Bill Keating,D,MA,MA_09,Representative,https://keating.house.gov,Congressman.Keating,USRepKeating
Fred Keller,R,PA,PA_12,Representative,https://keller.house.gov/,,RepFredKeller
Robin Kelly,D,IL,IL_02,Representative,https://robinkelly.house.gov,reprobinkelly,RepRobinKelly
Mike Kelly,R,PA,PA_16,Representative,https://kelly.house.gov,191056827594903,MikeKellyPA
Trent Kelly,R,MS,MS_01,Representative,https://trentkelly.house.gov,reptrentkelly,RepTrentKelly
Joseph Kennedy,D,MA,MA_04,Representative,https://kennedy.house.gov,301936109927957,RepJoeKennedy
Ro Khanna,D,CA,CA_17,Representative,https://khanna.house.gov,RepRoKhanna,RepRoKhanna
Dan Kildee,D,MI,MI_05,Representative,https://dankildee.house.gov,RepDanKildee,RepDanKildee
Derek Kilmer,D,WA,WA_06,Representative,https://kilmer.house.gov,derek.kilmer,RepDerekKilmer
Andy Kim,D,NJ,NJ_03,Representative,https://kim.house.gov/,,RepAndyKimNJ
Ron Kind,D,WI,WI_03,Representative,https://kind.house.gov,repronkind,RepRonKind
Peter King,R,NY,NY_02,Representative,https://peteking.house.gov,,RepPeteKing
Steve King,R,IA,IA_04,Representative,https://steveking.house.gov,stevekingia,SteveKingIA
Adam Kinzinger,R,IL,IL_16,Representative,https://kinzinger.house.gov,RepKinzinger,RepKinzinger
Ann Kirkpatrick,D,AZ,AZ_02,Representative,http://kirkpatrick.house.gov,RepKirkpatrick,RepKirkpatrick
Raja Krishnamoorthi,D,IL,IL_08,Representative,https://krishnamoorthi.house.gov,congressmanraja,congressmanraja
Ann Kuster,D,NH,NH_02,Representative,https://kuster.house.gov,CongresswomanAnnieKuster,RepAnnieKuster
David Kustoff,R,TN,TN_08,Representative,https://kustoff.house.gov,RepDavidKustoff,repdavidkustoff
Darin LaHood,R,IL,IL_18,Representative,https://lahood.house.gov,replahood,RepLaHood
Doug LaMalfa,R,CA,CA_01,Representative,https://lamalfa.house.gov,RepLaMalfa,RepLaMalfa
Conor Lamb,D,PA,PA_17,Representative,https://lamb.house.gov/,RepConorLamb,RepConorLamb
Doug Lamborn,R,CO,CO_05,Representative,https://lamborn.house.gov,CongressmanDougLamborn,RepDLamborn
Jim Langevin,D,RI,RI_02,Representative,https://langevin.house.gov,CongressmanJimLangevin,JimLangevin
Rick Larsen,D,WA,WA_02,Representative,https://larsen.house.gov,RepRickLarsen,RepRickLarsen
John Larson,D,CT,CT_01,Representative,https://larson.house.gov,RepJohnLarson,RepJohnLarson
Robert Latta,R,OH,OH_05,Representative,https://latta.house.gov,boblatta,BobLatta
Brenda Lawrence,D,MI,MI_14,Representative,https://lawrence.house.gov,395759603917487,RepLawrence
Al Lawson,D,FL,FL_05,Representative,https://lawson.house.gov,RepAlLawsonJr,RepAlLawsonJr
Barbara Lee,D,CA,CA_13,Representative,https://lee.house.gov,RepBarbaraLee,RepBarbaraLee
Susie Lee,D,NV,NV_03,Representative,https://susielee.house.gov/,,RepSusieLee
Debbie Lesko,R,AZ,AZ_08,Representative,https://lesko.house.gov/,RepDebbieLesko,RepDLesko
Mike Levin,D,CA,CA_49,Representative,https://mikelevin.house.gov/,,RepMikeLevin
Andy Levin,D,MI,MI_09,Representative,https://andylevin.house.gov/,,RepAndyLevin
John Lewis,D,GA,GA_05,Representative,https://johnlewis.house.gov,RepJohnLewis,RepJohnLewis
Ted Lieu,D,CA,CA_33,Representative,https://lieu.house.gov,RepTedLieu,RepTedLieu
